Company,Ticker,Sector,Market_Cap_T,PE_Ratio,Dividend_Yield,EPS,ROE_Percent,52W_High,52W_Low
Reliance Industries,RELIANCE.NS,Energy & Retail,17.89,22.17,46.0,59.64,9.14,1611.8,1253.2
TCS,TCS.NS,Information Technology,7.68,15.61,588.0,136.03,48.4,3489.9,2055.0
Infosys,INFY.NS,Information Technology,4.24,13.81,473.0,75.76,31.44,1728.0,1026.0
HDFC Bank,HDFCBANK.NS,Banking,12.35,17.9,164.0,44.82,13.82,1020.5,726.65
ICICI Bank,ICICIBANK.NS,Banking,10.02,18.7,80.0,74.72,16.36,1500.0,1187.6
SBI,SBIN.NS,Banking,9.71,11.54,168.0,91.15,15.48,1234.7,786.55
ITC,ITC.NS,FMCG,3.65,17.63,551.0,16.52,29.34,427.0,275.05
Bharti Airtel,BHARTIARTL.NS,Telecom,11.65,42.16,85.0,44.3,19.36,2174.5,1740.5
Larsen & Toubro,LT.NS,Infrastructure,5.84,36.26,91.0,117.09,16.95,4440.0,3288.1
Hindustan Unilever,HINDUNILVR.NS,FMCG,5.14,48.26,204.0,45.31,21.6,2750.0,2022.5
