Company,Start_Price,End_Price,Returns_%,Volatility_%,Max_Drawdown_%,Avg_Volume,PE_Ratio,Dividend_Yield,ROE_Percent,Avg_Score,Investment_Score,Rank
TCS,2915.71,2109.0,-27.67,22.37,-51.58,2726665,15.61,588.0,48.4,0.7076340000000001,2971.92,1
ITC,382.57,290.35,-24.11,18.6,-40.3,16136084,17.63,551.0,29.34,0.63088,2779.58,2
Infosys,1155.72,1056.6,-8.58,25.68,-45.86,8064544,13.81,473.0,31.44,0.577024,2387.33,3
Hindustan Unilever,2505.2,2157.8,-13.87,19.38,-30.18,1776171,48.26,204.0,21.6,0.55361,1039.42,4
SBI,527.57,1034.6,96.11,24.35,-23.94,14579150,11.54,168.0,15.48,0.536746,856.74,5
HDFC Bank,783.05,793.2,1.3,19.94,-27.78,33580999,17.9,164.0,13.82,0.726698,842.52,6
Larsen & Toubro,2288.56,4181.7,82.72,25.55,-24.35,2230711,36.26,91.0,16.95,0.676404,475.54,7
Bharti Airtel,836.36,1877.3,124.46,20.81,-18.77,6701562,42.16,85.0,19.36,0.776026,450.16,8
ICICI Bank,905.04,1373.6,51.77,18.87,-18.37,13910672,18.7,80.0,16.36,0.670586,421.79,9
Reliance Industries,1133.97,1313.6,15.84,21.0,-27.18,13186833,22.17,46.0,9.14,0.673772,249.21,10
